category_slug,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
villains,What does Te Ka turn out to be in Moana?,Te Fiti,Tamatoa,Maui's shadow,A volcano goddess,0,Te Ka is actually the goddess Te Fiti, corrupted after her heart was stolen.,medium
villains,What is Shere Khan in The Jungle Book?,A bear,A panther,A tiger,A snake,2,Shere Khan is the fearsome Bengal tiger who wants to kill Mowgli.,easy
villains,Who is Cruella de Vil's obsession in 101 Dalmatians?,Jewelry,Power,Dalmatian fur,Money,2,Cruella is obsessed with making a fur coat from dalmatian puppy spots.,easy
villains,Who is the villain in Big Hero 6?,Professor Callaghan,Alistair Krei,Baymax,Tadashi,0,Professor Callaghan is revealed to be the masked villain Yokai seeking revenge.,hard
villains,Who is the villain in Wreck-It Ralph?,Fix-It Felix,King Candy,Sergeant Calhoun,Vanellope,1,King Candy is actually Turbo in disguise, a game-jumping villain.,medium
villains,What are Pain and Panic in Hercules?,Hades' imp minions,Titans,Heroes,Gods,0,Pain and Panic are Hades' bumbling imp sidekicks in Hercules.,easy
princesses,What does Rapunzel use as a weapon in Tangled?,A sword,A frying pan,A bow,Her hair,1,Rapunzel's trusty frying pan becomes her signature weapon throughout Tangled.,easy
princesses,Where is Moana from?,Hawaii,Motunui,Fiji,Tahiti,1,Moana is from the fictional Polynesian island of Motunui.,easy
princesses,What is Tiana's best friend's name in The Princess and the Frog?,Charlotte,Evangeline,Mama Odie,Eudora,0,Charlotte La Bouff is Tiana's wealthy and princess-obsessed best friend.,medium
princesses,What does Cinderella lose at the ball?,Her tiara,Her necklace,Her glass slipper,Her ring,2,Cinderella loses her glass slipper on the palace steps as she flees at midnight.,easy
princesses,Which Disney Princess is Scottish?,Rapunzel,Aurora,Merida,Moana,2,Merida is the Scottish princess from Brave who is skilled with a bow and arrow.,easy
princesses,What animal does Jasmine have as a pet?,A monkey,A parrot,A tiger,A horse,2,Rajah is Princess Jasmine's loyal pet Bengal tiger.,easy
princesses,What is Aurora's other name in Sleeping Beauty?,Rose,Briar Rose,Dawn,Rose Red,1,Aurora is raised in the forest under the name Briar Rose by three good fairies.,medium
princesses,Who are the three fairies in Sleeping Beauty?,Flora, Fauna, and Merryweather,Tinker Bell, Silvermist, and Rosetta,The Fairy Godmother and sisters,Mary, Clara, and Rose,0,Flora, Fauna, and Merryweather are the three good fairies who raise Princess Aurora.,medium
princesses,What is Rapunzel's chameleon friend called?,Maximus,Pascal,Flynn,Hook Hand,1,Pascal is Rapunzel's loyal chameleon companion in Tangled.,easy
princesses,Which princess can control ice and snow?,Anna,Elsa,Rapunzel,Moana,1,Elsa has the magical power to create and control ice and snow.,easy
princesses,Who is Belle's father in Beauty and the Beast?,Gaston,Maurice,Philippe,Lumiere,1,Maurice is Belle's eccentric inventor father who gets lost in the forest.,medium
princesses,What does Ariel collect from the human world?,Jewelry,Books,Human artifacts and gadgets,Seashells,2,Ariel has a secret grotto filled with human objects she calls gadgets and gizmos.,easy
princesses,Which princess disguises herself as a man to join the army?,Merida,Mulan,Jasmine,Moana,1,Mulan disguises herself as Ping to take her father's place in the Chinese army.,easy
princesses,What is the name of Pocahontas's love interest?,John Rolfe,John Smith,Captain Hook,Eric,1,Captain John Smith is the English explorer who falls in love with Pocahontas.,easy
princesses,In Moana, what must be returned to Te Fiti?,Her crown,Her heart,Her pearl,Her necklace,1,Moana must return the heart of Te Fiti to stop the darkness spreading across the ocean.,easy
princesses,What is the name of Ariel's seagull friend?,Sebastian,Flounder,Scuttle,Max,2,Scuttle is the seagull who claims to know about human objects but gets everything wrong.,easy
princesses,Which Disney Princess does not sing a solo in her movie?,Aurora,Merida,Jasmine,Moana,1,Merida from Brave is the only Disney Princess who does not have a solo song in her film.,hard
music,What movie features the song 'Be Our Guest'?,Cinderella,Aladdin,Beauty and the Beast,The Little Mermaid,2,Be Our Guest is sung by Lumiere and the enchanted objects in Beauty and the Beast.,easy
music,Who sings 'Part of Your World' in The Little Mermaid?,Belle,Ariel,Cinderella,Jasmine,1,Part of Your World is Ariel's signature song about wanting to live on land.,easy
music,What Disney song from Pinocchio became the Disney company's theme?,When You Wish Upon a Star,I've Got No Strings,Give a Little Whistle,Hi-Diddle-Dee-Dee,0,When You Wish Upon a Star won an Oscar and became the Walt Disney Company's signature melody.,medium
music,Which Disney film features the song 'Hakuna Matata'?,Aladdin,The Lion King,The Jungle Book,Tarzan,1,Hakuna Matata means 'no worries' and is sung by Timon and Pumbaa in The Lion King.,easy
music,Who sings 'We Don't Talk About Bruno' in Encanto?,Bruno,Mirabel,The whole Madrigal family,Luisa,2,Multiple Madrigal family members each take turns singing about the taboo subject of Bruno.,easy
music,What movie features the song 'You've Got a Friend in Me'?,Monsters Inc,Finding Nemo,Toy Story,Cars,2,You've Got a Friend in Me by Randy Newman is the iconic Toy Story theme song.,easy
music,Who wrote the music for Mary Poppins?,Alan Menken,The Sherman Brothers,Elton John,Randy Newman,1,Richard and Robert Sherman wrote Supercalifragilisticexpialidocious and all Mary Poppins songs.,medium
music,What Disney song includes the lyric 'tale as old as time'?,A Whole New World,Beauty and the Beast,Can You Feel the Love Tonight,Colors of the Wind,1,Tale as old as time is the iconic opening lyric of the Beauty and the Beast waltz.,easy
music,Who wrote the songs for Tarzan?,Elton John,Phil Collins,Alan Menken,Hans Zimmer,1,Phil Collins wrote and performed all songs for Tarzan including You'll Be in My Heart.,medium
music,What Moana song does Dwayne Johnson perform?,How Far I'll Go,Shiny,You're Welcome,We Know the Way,2,Dwayne Johnson voices Maui and sings You're Welcome, written by Lin-Manuel Miranda.,easy
music,Which song is from Mulan?,I'll Make a Man Out of You,Be Prepared,One Jump Ahead,Friend Like Me,0,I'll Make a Man Out of You is the training montage song sung by Captain Li Shang.,easy
music,What movie features 'Colors of the Wind'?,Moana,Brave,Pocahontas,Mulan,2,Colors of the Wind is Pocahontas's signature song about respecting nature.,easy
music,Who wrote 'Can You Feel the Love Tonight' from The Lion King?,Hans Zimmer,Alan Menken,Elton John and Tim Rice,Phil Collins,2,Elton John composed the music and Tim Rice wrote the lyrics for The Lion King's songs.,medium
music,What is the opening song of Aladdin?,A Whole New World,Friend Like Me,Prince Ali,Arabian Nights,3,Arabian Nights is the opening number sung by a merchant introducing the story of Aladdin.,medium
music,Which Frozen song became a worldwide phenomenon and won an Academy Award?,Do You Want to Build a Snowman,Let It Go,For the First Time in Forever,Into the Unknown,1,Let It Go won the Academy Award for Best Original Song and became a cultural phenomenon.,easy
music,Which Disney Renaissance film does NOT have music by Alan Menken?,The Little Mermaid,Beauty and the Beast,The Lion King,Aladdin,2,The Lion King features music by Hans Zimmer with songs by Elton John and Tim Rice.,hard
music,What is Sebastian's full name in The Little Mermaid?,Sebastian Crab,Horatio Thelonious Ignacious Crustaceous Sebastian,Sebastian the Crab,Sir Sebastian,1,Sebastian's full name is Horatio Thelonious Ignacious Crustaceous Sebastian.,hard
parks,How many happy haunts are in the Haunted Mansion?,666,899,999,1013,2,The Haunted Mansion features 999 happy haunts with room for one more.,medium
parks,What is EPCOT an acronym for?,Every Person Comes Out Tired,Experimental Prototype Community of Tomorrow,Entertainment Park of Creative Opportunities,Exciting Place for Children of Tomorrow,1,EPCOT stands for Experimental Prototype Community of Tomorrow, Walt Disney's vision.,medium
parks,Which Disney park has the Matterhorn Bobsleds?,Magic Kingdom,Disneyland,Tokyo Disneyland,Shanghai Disneyland,1,The Matterhorn Bobsleds at Disneyland was the world's first tubular steel roller coaster.,medium
parks,What is the tallest mountain attraction at Walt Disney World?,Space Mountain,Big Thunder Mountain,Splash Mountain,Expedition Everest,3,Expedition Everest at Animal Kingdom stands at 199 feet tall.,medium
parks,Which Disneyland land features Sleeping Beauty Castle?,Main Street USA,Adventureland,Fantasyland,Tomorrowland,2,Sleeping Beauty Castle is the gateway to Fantasyland at Disneyland.,easy
parks,What Walt Disney World park is themed around movies?,EPCOT,Magic Kingdom,Hollywood Studios,Animal Kingdom,2,Disney's Hollywood Studios is themed around movies, TV, music, and theater.,easy
parks,What is the Avatar-themed land called at Animal Kingdom?,Avatar Land,Pandora - The World of Avatar,Na'vi Village,Hometree,1,Pandora - The World of Avatar opened at Animal Kingdom in 2017.,medium
parks,What ride lets you design and race your own car at EPCOT?,Space Mountain,Test Track,Rock 'n' Roller Coaster,Radiator Springs Racers,1,Test Track at EPCOT lets guests design a virtual car and test it on a high-speed track.,easy
parks,What is the pirate-themed ride at Disney parks called?,Jolly Roger's Revenge,Pirates of the Caribbean,Blackbeard's Bounty,Treasure Cove,1,Pirates of the Caribbean was one of the last attractions personally supervised by Walt Disney.,easy
parks,Which Walt Disney World resort has the monorail running through it?,Art of Animation,All-Star Movies,Contemporary Resort,Caribbean Beach,2,The Contemporary Resort has the monorail running through its iconic A-frame building.,medium
parks,What is the indoor roller coaster in Tomorrowland?,Rock 'n' Roller Coaster,Space Mountain,Flight of Passage,TRON Lightcycle,1,Space Mountain is the classic indoor dark roller coaster in Tomorrowland.,easy
parks,How many themed lands did Disneyland have on opening day in 1955?,3,4,5,6,2,Disneyland opened with Main Street USA, Adventureland, Frontierland, Fantasyland, and Tomorrowland.,hard
parks,What is the name of Disney's flagship merchandise store on Main Street?,Disney Trading Post,The Emporium,World of Disney,Disney Outfitters,1,The Emporium is the large merchandise store on Main Street USA at Disney parks.,medium
parks,What is the name of the nighttime show at EPCOT's World Showcase Lagoon?,IllumiNations,Luminous,Harmonious,EPCOT Forever,1,Luminous The Symphony of Us is the current nighttime spectacular at EPCOT.,hard
parks,What ride replaced Splash Mountain at Magic Kingdom?,Tiana's Bayou Adventure,Princess and the Frog Rapids,Down in New Orleans,Tiana's Palace Ride,0,Tiana's Bayou Adventure replaced Splash Mountain, rethemed to The Princess and the Frog.,medium
cruise,What is the water coaster on the Disney Dream and Fantasy called?,AquaDunk,AquaDuck,AquaSlide,Pelican Plunge,1,AquaDuck is the shipboard water coaster that extends over the edge of the ship.,medium
cruise,What is the teen club called on Disney cruise ships?,Club 17,Vibe,Edge,The Hangout,1,Vibe is the exclusive teen hangout for ages 14-17 on Disney cruise ships.,medium
cruise,What is Disney Cruise Line's second private destination in the Bahamas?,Lighthouse Point,Treasure Cay,Eleuthera Beach,Disney Island,0,Lighthouse Point on the island of Eleuthera is Disney's second Bahamas destination.,hard
cruise,What celebration happens on deck as the ship departs?,A farewell wave,The Sailing Away party,The Captain's toast,The bon voyage show,1,The Sailing Away party is a fun deck celebration with characters as the ship departs port.,easy
cruise,How many nights is the shortest regular Disney Cruise sailing?,1 night,2 nights,3 nights,5 nights,2,Three-night Bahamas cruises are the shortest regular Disney Cruise Line sailings.,easy
cruise,What is the main entertainment theater called on Disney cruise ships?,Walt Disney Theatre,Buena Vista Theatre,Grand Hall,Enchanted Stage,0,The Walt Disney Theatre hosts Broadway-style stage shows on Disney cruise ships.,medium
cruise,What age group is the Edge club for on Disney ships?,3-7,8-10,11-14,15-17,2,Edge is the tween hangout for ages 11-14 on Disney Cruise Line ships.,medium
cruise,What is the nursery for babies on Disney ships called?,It's a Small World Nursery,Neverland Nursery,Flounder's Reef,Pixie Hollow,0,It's a Small World Nursery is available for infants and toddlers under age 3.,medium
cruise,Where does Disney Cruise Line primarily depart from in Florida?,Miami,Fort Lauderdale,Port Canaveral,Tampa,2,Port Canaveral is Disney Cruise Line's primary departure port in Florida.,easy
cruise,What is fish extender (FE) gifting on a Disney Cruise?,A fishing excursion,A passenger gift exchange tradition,An onboard dining event,A character meet and greet,1,Fish extender gifting is a fan tradition where passengers exchange small gifts hung on door hooks.,medium
cruise,What type of stateroom has a private outdoor balcony?,Interior,Oceanview,Verandah,Porthole,2,Verandah staterooms feature a private balcony for enjoying ocean views.,easy
cruise,What is Disney Cruise Line's loyalty program called?,Disney Rewards,Castaway Club,Silver Seas Club,Magic Miles,1,Castaway Club rewards repeat cruisers with Silver, Gold, and Platinum membership levels.,medium
cruise,Which Disney ship introduced the AquaMouse water attraction?,Disney Dream,Disney Fantasy,Disney Wish,Disney Treasure,2,Disney Wish introduced AquaMouse, a family water attraction with animated show scenes.,hard
cruise,What year did the Disney Magic first set sail?,1995,1998,2000,2002,1,Disney Magic launched in 1998 as the very first Disney Cruise Line ship.,medium
cruise,What is the name of the Disney Cruise Line's sixth ship?,Disney Adventure,Disney Destiny,Disney Treasure,Disney Lighthouse,2,Disney Treasure is the sixth ship in the Disney Cruise Line fleet.,medium
walt-history,What was Walt Disney's first theme park?,Walt Disney World,Disneyland,EPCOT,Disney California Adventure,1,Disneyland in Anaheim, California opened in 1955 as Walt's first theme park.,easy
walt-history,What year did Walt Disney pass away?,1960,1964,1966,1970,2,Walt Disney passed away on December 15, 1966 from lung cancer.,medium
walt-history,What was the first cartoon with fully synchronized sound throughout?,Plane Crazy,Steamboat Willie,The Gallopin' Gaucho,The Barn Dance,1,Steamboat Willie premiered in 1928 as the first cartoon with synchronized sound throughout.,medium
walt-history,What company did Walt and Roy Disney originally found?,Walt Disney Productions,Disney Brothers Cartoon Studio,The Walt Disney Company,Disney Animation,1,Walt and Roy Disney founded the Disney Brothers Cartoon Studio in 1923.,hard
walt-history,What small Missouri town inspired Main Street USA?,St. Louis,Kansas City,Marceline,Springfield,2,Walt spent formative childhood years in Marceline, Missouri which inspired Main Street USA.,hard
walt-history,How many competitive Academy Awards did Walt Disney win?,12,22,32,42,1,Walt Disney won 22 competitive Academy Awards, more than any other individual in history.,hard
walt-history,What was Disney's first fully live-action feature film?,Treasure Island,20,000 Leagues Under the Sea,Old Yeller,Mary Poppins,0,Treasure Island released in 1950 was Disney's first fully live-action feature film.,hard
walt-history,What did Disney produce for the US military during World War II?,Weapons,Training and propaganda films,Uniforms,Nothing,1,Disney produced training and propaganda films for the US military during WWII.,medium
walt-history,What TV show did Walt Disney personally host?,The Mickey Mouse Show,Walt Disney's Wonderful World of Color,The Disney Hour,Disney Story Time,1,Walt hosted the anthology TV series which premiered in 1954 and ran for decades.,medium
walt-history,Who was Walt Disney's wife?,Mary Disney,Lillian Disney,Margaret Disney,Dorothy Disney,1,Lillian Bounds married Walt Disney in 1925 and famously suggested the name Mickey.,medium
walt-history,What was Disney's first full-color animated short?,Steamboat Willie,Flowers and Trees,The Three Little Pigs,The Old Mill,1,Flowers and Trees (1932) was the first film in three-strip Technicolor and won an Oscar.,hard
walt-history,What year did The Walt Disney Company acquire Pixar?,2000,2004,2006,2010,2,Disney acquired Pixar in 2006 for approximately 7.4 billion dollars.,medium
walt-history,What year did Disney acquire Marvel Entertainment?,2006,2009,2012,2015,1,Disney acquired Marvel Entertainment in 2009 for approximately 4 billion dollars.,medium
walt-history,What year did Disney acquire Lucasfilm?,2010,2012,2014,2016,1,Disney acquired Lucasfilm and the Star Wars franchise in 2012 for 4.05 billion dollars.,medium
walt-history,Who led Disney as CEO during the Renaissance era of the 1990s?,Bob Iger,Michael Eisner,Frank Wells,Jeffrey Katzenberg,1,Michael Eisner was CEO from 1984 to 2005 and oversaw the Disney Renaissance era.,medium
walt-history,What year did the Disney Channel launch?,1978,1983,1990,1995,1,The Disney Channel launched on April 18, 1983 as a premium cable channel.,hard
walt-history,How many daughters did Walt Disney have?,0,1,2,3,2,Walt had two daughters: Diane (biological) and Sharon (adopted).,medium
walt-history,What US state was Walt Disney born in?,California,Missouri,Illinois,New York,2,Walt Disney was born in Chicago, Illinois on December 5, 1901.,medium
walt-history,What was the first Disney feature to be entirely produced using CAPS digital technology?,The Little Mermaid,The Rescuers Down Under,Beauty and the Beast,Aladdin,1,The Rescuers Down Under (1990) was the first feature entirely produced using CAPS technology.,hard
broadway,What year did The Lion King open on Broadway?,1994,1997,2000,2003,1,The Lion King opened on Broadway on November 13, 1997 at the New Amsterdam Theatre.,medium
broadway,What Disney film was adapted into a Broadway show in 2018?,Moana,Frozen,Tangled,Coco,1,Frozen opened on Broadway in March 2018 at the St. James Theatre.,medium
broadway,Who directed the Broadway production of The Lion King?,Rob Ashford,Julie Taymor,Thomas Schumacher,Casey Nicholaw,1,Julie Taymor directed and designed the groundbreaking puppetry and staging.,medium
broadway,Which actor won a Tony Award for playing the Genie in Aladdin?,Will Smith,James Monroe Iglehart,Robin Williams,Josh Gad,1,James Monroe Iglehart won a Tony Award for his showstopping portrayal of the Genie.,hard
broadway,What song was written specifically for the Beauty and the Beast Broadway show?,Be Our Guest,Home,Beauty and the Beast,Gaston,1,Home was written specifically for the Broadway production as Belle's Act 1 ballad.,hard
broadway,Which Disney Broadway show is set during the 1899 newsboys' strike?,Mary Poppins,Newsies,Aladdin,Frozen,1,Newsies is set during the 1899 newsboys' strike against newspaper publishers in New York.,medium
broadway,What Disney Broadway show features songs by Phil Collins?,Tarzan,The Lion King,Frozen,Aladdin,0,Tarzan the musical features songs by Phil Collins from the animated film.,medium
broadway,How many Tony Awards did The Lion King win in 1998?,2,4,6,8,2,The Lion King won 6 Tony Awards in 1998 including Best Musical and Best Direction.,hard
broadway,What Disney show features a magic carpet that flies over the audience?,Peter Pan,Aladdin,The Little Mermaid,Mary Poppins,1,Aladdin's Broadway production features a magic carpet that soars over the audience.,easy
broadway,Which Disney Broadway show permanently closed after the COVID-19 shutdown?,Aladdin,The Lion King,Frozen,Beauty and the Beast,2,Frozen on Broadway permanently closed in 2020 after the COVID-19 shutdown.,medium
broadway,What is Ursula's big villain song in The Little Mermaid musical?,Kiss the Girl,Under the Sea,Poor Unfortunate Souls,Part of Your World,2,Poor Unfortunate Souls is Ursula's show-stopping villain number.,easy
broadway,Which Disney Broadway show features the song 'Santa Fe'?,The Lion King,Newsies,Aladdin,Tarzan,1,Santa Fe is Jack Kelly's dream song about escaping to a better life out west.,medium
broadway,What was Julie Taymor's historic achievement at the Tony Awards?,Youngest winner,First woman to win Best Direction of a Musical,Most nominations,Most wins in one night,1,Julie Taymor was the first woman to win the Tony for Best Direction of a Musical.,hard
broadway,What type of puppets represent animals in The Lion King on Broadway?,Hand puppets,Marionettes,Body puppets and masks,Animatronics,2,Julie Taymor designed innovative body puppets and masks that actors wear and manipulate.,medium
broadway,Which Disney Broadway show features 'Supercalifragilisticexpialidocious'?,Beauty and the Beast,Mary Poppins,Frozen,Aladdin,1,Mary Poppins the musical features the iconic tongue-twisting song from the 1964 film.,easy
broadway,Which Disney Broadway show features the song 'Carrying the Banner'?,Mary Poppins,Newsies,The Lion King,Aladdin,1,Carrying the Banner is the rousing opening ensemble number of Newsies.,medium
broadway,Which Disney film had both a Broadway musical AND a live-action remake first?,The Lion King,Beauty and the Beast,Aladdin,The Little Mermaid,1,Beauty and the Beast had a Broadway musical in 1994 and a live-action remake in 2017.,medium
broadway,What Disney Broadway show features an onstage beast-to-prince transformation?,Beauty and the Beast,Frozen,The Lion King,Tarzan,0,Beauty and the Beast features the dramatic transformation of the Beast back into the Prince.,easy
broadway,How long has The Lion King been running on Broadway (as of 2025)?,Over 15 years,Over 20 years,Over 25 years,Over 30 years,2,The Lion King has been running since 1997 and is one of Broadway's longest-running shows.,medium
broadway,What year did Aladdin open on Broadway?,2011,2014,2016,2018,1,Aladdin opened on Broadway in March 2014 and has been a hit ever since.,medium
food,What is the sit-down restaurant inside Cinderella Castle?,Royal Table,Cinderella's Royal Table,The Royal Banquet,Castle Dining,1,Cinderella's Royal Table is the character dining restaurant inside Cinderella Castle.,easy
food,What foods come in Mickey's head shape at Disney parks?,Only ice cream bars,Only waffles,Only pretzels,All of the above and more,3,Mickey-shaped foods include ice cream bars, waffles, pretzels, beignets, and rice krispie treats.,easy
food,Where can you get the famous Grey Stuff at Walt Disney World?,Be Our Guest Restaurant,Cinderella's Royal Table,Crystal Palace,Chef Mickey's,0,The Grey Stuff is a cookies and cream mousse at Be Our Guest, inspired by the film's 'try the grey stuff, it's delicious.',medium
food,What are the giant smoked snacks famous at Disney parks?,Corn dogs,Turkey legs,Sausages,Ribs,1,Giant smoked turkey legs are an iconic Disney parks snack weighing about 1.5 pounds.,easy
food,What is the Polynesian-themed restaurant at Walt Disney World?,Trader Sam's,'Ohana,Tiki Room Dining,Aloha Isle,1,'Ohana at Disney's Polynesian Village Resort serves family-style Polynesian cuisine.,medium
food,What is the signature snack at the Main Street Confectionery?,Funnel cake,Candy apples,Cotton candy,Fudge,1,Hand-dipped candy and caramel apples are the signature treat at Disney confectionery shops.,medium
food,What is the popular wrap at Ronto Roasters in Galaxy's Edge?,Ronto Wrap,Bantha Wrap,Jedi Wrap,Tatooine Wrap,0,The Ronto Wrap is a pita filled with roasted pork and slaw, a popular Galaxy's Edge snack.,medium
food,What EPCOT restaurant lets you eat next to a giant aquarium?,Coral Reef Restaurant,The Seas Restaurant,Living Seas Cafe,Aquarium Grill,0,Coral Reef Restaurant at The Seas pavilion features dining alongside a massive aquarium.,medium
food,What restaurant at EPCOT simulates dining 220 miles above Earth?,Space 220,Cosmic Ray's,Starlight Cafe,Galaxy Grill,0,Space 220 simulates dining in space with virtual windows showing views of Earth below.,medium
food,Where can you find LeFou's Brew at Magic Kingdom?,Be Our Guest,Gaston's Tavern,Maurice's Treats,The Friar's Nook,1,LeFou's Brew is a frozen apple juice drink topped with passion fruit foam at Gaston's Tavern.,medium
food,What is a Kitchen Sink sundae at Disney?,A dessert served in a mini kitchen sink,A small ice cream cup,A fondue,A shared appetizer,0,The Kitchen Sink is a massive sundae served in a mini kitchen sink at Beaches & Cream.,easy
food,What Hollywood Studios restaurant has a drive-in movie theme?,50s Prime Time Cafe,Sci-Fi Dine-In Theater,Hollywood Brown Derby,Mama Melrose's,1,Sci-Fi Dine-In Theater seats guests in car-shaped booths watching retro B-movie clips.,easy
food,What famous restaurant sits at the top of the Contemporary Resort?,Narcoossee's,California Grill,Chef Mickey's,The Wave,1,California Grill on the 15th floor offers panoramic views of Magic Kingdom fireworks.,medium
food,What is the Tonga Toast at the Polynesian Resort?,Banana-stuffed French toast,Coconut cake,Pineapple pastry,Taro bread,0,Tonga Toast is banana-stuffed sourdough French toast rolled in cinnamon sugar.,hard
food,What is Blue Milk at Galaxy's Edge made from?,Dairy milk,Plant-based milk blend,Blue food coloring in water,Coconut milk,1,Blue Milk is a frozen plant-based blend with tropical flavors like dragon fruit and lime.,medium
food,What is the popular collectible snack container at Disney parks?,Character cups,Popcorn buckets,Souvenir plates,Themed lunch boxes,1,Collectible popcorn buckets shaped like characters and attractions are hugely popular souvenirs.,easy
food,What unique snack is Tokyo Disneyland most famous for?,Churros,Many flavors of popcorn,Turkey legs,Dole Whip,1,Tokyo Disneyland is famous for its many unique popcorn flavors sold in collectible buckets.,medium
food,What is the School Bread from EPCOT's Norway pavilion?,A custard-filled sweet roll,A cinnamon bun,A pretzel,A croissant,0,School Bread is a sweet cardamom bun filled with vanilla custard and topped with coconut.,hard
food,What is the Citrus Swirl flavor at Magic Kingdom?,Lemon,Orange,Lime,Grapefruit,1,The Citrus Swirl is an orange soft serve treat at Sunshine Tree Terrace in Adventureland.,medium
mixed,What live-action Disney film features a magic nanny with an umbrella?,Enchanted,Bedknobs and Broomsticks,Mary Poppins,Nanny McPhee,2,Mary Poppins arrives with her magic umbrella and carpet bag in the 1964 classic.,easy
mixed,What is Disney's streaming service called?,Disney+,Disney Now,Disney Stream,Disney Go,0,Disney+ launched on November 12, 2019 as Disney's dedicated streaming platform.,easy
mixed,In what movie does a wooden puppet wish to become a real boy?,Toy Story,Pinocchio,The Nutcracker,Gepetto,1,Pinocchio wishes upon a star to become a real boy in the 1940 Disney classic.,easy
mixed,What color are Mickey Mouse's shorts?,Blue,Yellow,Red,Black,2,Mickey Mouse's iconic outfit features red shorts with two white buttons.,easy
mixed,Who is Mickey Mouse's pet dog?,Goofy,Pluto,Max,Figaro,1,Pluto is Mickey Mouse's loyal pet dog who first appeared in 1930.,easy
mixed,What is the name of Donald Duck's girlfriend?,Minnie,Daisy,Clara,Donna,1,Daisy Duck is Donald's girlfriend who first appeared in 1940.,easy
mixed,What type of animal is Goofy?,Dog,Cow,Bear,Horse,0,Goofy is an anthropomorphic dog, despite his pet-like friend Pluto also being a dog.,easy
mixed,What animal is Dumbo?,Mouse,Dog,Elephant,Bear,2,Dumbo is a baby elephant with oversized ears that allow him to fly.,easy
mixed,Who is Goofy's son?,Max,PJ,Bobby,Goofy Jr,0,Max Goof is Goofy's son, featured in A Goofy Movie and the TV show Goof Troop.,medium
mixed,What year did Disney+ launch?,2018,2019,2020,2021,1,Disney+ launched on November 12, 2019 with over 10 million subscribers on day one.,medium
mixed,Which Pixar film features the line 'Just keep swimming'?,Toy Story,Finding Nemo,The Incredibles,Monsters Inc,1,Dory's motto 'Just keep swimming' is one of the most iconic lines from Finding Nemo.,easy
mixed,What is the Disney Vault?,A theme park attraction,Disney's practice of limiting home video releases,Secure prop storage,A VIP dining experience,1,The Disney Vault was the practice of periodically withdrawing films from sale to create demand.,medium
mixed,Who is Minnie Mouse's best friend?,Clarabelle Cow,Daisy Duck,Pluto,Chip,1,Daisy Duck is Minnie Mouse's best friend in the Disney universe.,easy
mixed,What Disney Channel show features twins living at a hotel?,Hannah Montana,The Suite Life of Zack & Cody,Lizzie McGuire,That's So Raven,1,Zack and Cody Martin live at the Tipton Hotel in this popular Disney Channel show.,easy
mixed,What hidden detail appears in nearly every Pixar film?,A hidden Mickey,The Pizza Planet truck,A Pixar ball,A blue butterfly,1,The Pizza Planet truck from Toy Story appears as an Easter egg in nearly every Pixar film.,medium
mixed,What does 'Hakuna Matata' mean?,Be our guest,No worries,Family forever,Believe in yourself,1,Hakuna Matata is a Swahili phrase meaning 'no worries' popularized by The Lion King.,easy
mixed,Which Disney Renaissance film came first?,Beauty and the Beast,The Little Mermaid,Aladdin,The Lion King,1,The Little Mermaid (1989) is considered the start of the Disney Renaissance.,medium
mixed,What year did Disney acquire 21st Century Fox?,2017,2019,2020,2021,1,Disney completed the acquisition of 21st Century Fox in March 2019 for 71.3 billion dollars.,hard
mixed,What is the hidden message in the dust cloud scene in The Lion King?,SOS,SEX,SFX,Nothing,2,The dust spells out SFX, a nod to the special effects team, despite popular urban legend.,hard
animation,What is the name of the snowman Elsa creates in Frozen?,Marshmallow,Olaf,Sven,Kristoff,1,Olaf is the friendly snowman that Elsa brings to life with her powers.,easy
animation,In Wreck-It Ralph, what game does Ralph come from?,Sugar Rush,Fix-It Felix Jr.,Hero's Duty,TurboTime,1,Ralph is the villain in the arcade game Fix-It Felix Jr.,medium
animation,What animal does Kuzco turn into in The Emperor's New Groove?,A frog,A cat,A llama,A donkey,2,Emperor Kuzco is turned into a llama by Yzma's potion.,easy
animation,Who is the villain in The Rescuers?,Cruella,Madame Medusa,Ratigan,Yzma,1,Madame Medusa kidnaps a young orphan girl to retrieve a diamond.,hard
animation,In Big Hero 6, what does Baymax say when he activates?,I am Baymax,Hello, I am Baymax, your personal healthcare companion,I am here to help,Baymax activated,1,Baymax always introduces himself as your personal healthcare companion.,easy
animation,What is the name of the magical flower in Tangled?,Golden Flower,Sundrop Flower,Rapunzel's Rose,Healing Bloom,1,The Sundrop Flower has magical healing properties that Mother Gothel hoards.,medium
pixar,What is the name of the dinosaur toy in Toy Story?,Rex,Dino,Spike,Trixie,0,Rex is the anxious Tyrannosaurus Rex toy who is afraid of everything.,easy
pixar,In Onward, what are the brothers trying to do?,Find treasure,Bring back their father for one day,Save their kingdom,Learn magic at school,1,Ian and Barley Lightfoot go on a quest to bring back their late father for 24 hours.,medium
pixar,What is the name of the fish tank gang leader in Finding Nemo?,Bloat,Gill,Jacques,Deb,1,Gill is the Moorish Idol who leads the Tank Gang escape plans.,medium
pixar,In Toy Story 4, what new toy does Bonnie make?,Sporky,Forky,Knifey,Spoony,1,Forky is a spork craft project that Bonnie brings to life as a new toy.,easy
